Company,TypeName,Ram,Gpu,OpSys,Weight,Price,IPS,Touchscreen,4k,PPI,cpu_brand,HDD,SSD
APPLE,Ultrabook,8,Intel,Others,1.37,71378.6832,Yes,No,No,226.98300468106115,Intel Core i5,0,128
APPLE,Ultrabook,8,Intel,Others,1.34,47895.5232,No,No,No,127.67794013309688,Intel Core i5,0,0
HP,Notebook,8,Intel,No OS,1.86,30636.0,No,No,No,141.21199808219862,Intel Core i5,0,256
APPLE,Ultrabook,16,AMD,Others,1.83,135195.33599999998,Yes,No,No,220.53462386625827,Intel Core i7,0,512
APPLE,Ultrabook,8,Intel,Others,1.37,96095.808,Yes,No,No,226.98300468106115,Intel Core i5,0,256
ACER,Notebook,4,AMD,Windows,2.1,21312.0,No,No,No,100.45466986113651,AMD,500,0
APPLE,Ultrabook,16,Intel,Mac,2.04,114017.6016,Yes,No,No,220.53462386625827,Intel Core i7,0,0
APPLE,Ultrabook,8,Intel,Others,1.34,61735.536,No,No,No,127.67794013309688,Intel Core i5,0,0
ASUS,Ultrabook,16,Nvidia,Windows,1.3,79653.59999999999,No,No,No,157.3505121487356,Intel Core i7,0,512
ACER,Ultrabook,8,Intel,Windows,1.6,41025.6,Yes,No,No,157.3505121487356,Intel Core i5,0,256
HP,Notebook,4,Intel,No OS,1.86,20986.992,No,No,No,100.45466986113651,Intel Core i5,500,0
HP,Notebook,4,Intel,No OS,1.86,18381.0672,No,No,No,141.21199808219862,Intel Core i3,500,0
APPLE,Ultrabook,16,AMD,Others,1.83,130001.6016,Yes,No,No,220.53462386625827,Intel Core i7,0,256
DELL,Notebook,4,AMD,Windows,2.2,26581.392,No,No,No,141.21199808219862,Intel Core i3,0,256
APPLE,Ultrabook,8,Intel,Others,0.92,67260.672,Yes,No,No,226.41554716935852,Others,0,256
APPLE,Ultrabook,8,Intel,Others,1.37,80908.344,Yes,No,No,226.98300468106115,Intel Core i5,0,256
DELL,Notebook,8,AMD,Windows,2.2,39693.6,No,No,No,141.21199808219862,Intel Core i7,0,256
APPLE,Ultrabook,16,AMD,Others,1.83,152274.24,Yes,No,No,220.53462386625827,Intel Core i7,0,512
LENOVO,Notebook,8,Nvidia,No OS,2.2,26586.72,No,No,No,141.21199808219862,Intel Core i3,10,0
DELL,Ultrabook,8,Intel,Windows,1.22,52161.12,Yes,Yes,No,165.6321180513006,Intel Core i5,0,128
ASUS,Netbook,2,Intel,Windows,0.98,10224.432,No,No,No,135.0942111925629,Others,0,0
LENOVO,Gaming,8,Nvidia,Windows,2.5,53226.72,Yes,No,No,141.21199808219862,Intel Core i5,10,128
HP,Notebook,4,AMD,No OS,1.86,13746.24,No,No,No,100.45466986113651,AMD,500,0
DELL,2 in 1 Convertible,8,Intel,Windows,1.62,43636.32,No,Yes,No,165.6321180513006,Intel Core i5,0,256
HP,Ultrabook,8,Intel,Windows,1.91,35111.52,No,No,No,141.21199808219862,Intel Core i7,0,256
DELL,Notebook,4,Intel,Windows,2.3,22305.1392,No,No,No,100.45466986113651,Intel Core i3,10,0
APPLE,Ultrabook,8,Intel,Mac,1.35,58554.72,No,No,No,127.67794013309688,Intel Core i5,0,0
DELL,Notebook,8,AMD,Windows,2.2,42624.0,No,No,No,141.21199808219862,Intel Core i5,0,256
DELL,Ultrabook,8,Intel,Windows,1.88,69157.44,No,No,No,141.21199808219862,Intel Core i7,0,512
HP,Notebook,8,Nvidia,Windows,2.5,47738.88,No,No,No,127.33567457123111,Intel Core i5,10,0
CHUWI,Notebook,4,Intel,Windows,1.89,13053.0672,No,No,No,141.21199808219862,Others,0,0
ASUS,Notebook,2,AMD,Windows,1.65,10602.72,No,No,No,111.93520355955211,AMD,0,0
HP,Notebook,4,AMD,Windows,2.71,23389.92,No,No,No,127.33567457123111,AMD,500,0
DELL,Ultrabook,16,Intel,Windows,1.2,99580.32,No,Yes,No,276.053530085501,Intel Core i7,0,512
APPLE,Ultrabook,8,Intel,Mac,1.35,53173.44,No,No,No,127.67794013309688,Intel Core i5,0,0
LENOVO,Notebook,4,Intel,Windows,1.44,13266.72,No,No,No,111.93520355955211,Intel Celeron,0,0
ACER,Notebook,4,Intel,Linux,2.1,19553.76,No,No,No,100.45466986113651,Intel Core i3,10,0
DELL,Notebook,8,AMD,Windows,2.8,52161.12,Yes,No,No,127.33567457123111,Intel Core i5,10,128
HP,Notebook,4,Intel,Windows,1.86,26037.4032,No,No,No,100.45466986113651,Intel Core i5,10,0
HP,Notebook,8,Nvidia,Windows,2.1,46833.12,No,No,No,141.21199808219862,Intel Core i5,0,256
ASUS,Notebook,4,Intel,Linux,2.0,20725.92,No,No,No,141.21199808219862,Intel Core i3,10,0
DELL,Gaming,16,Nvidia,Windows,2.65,79866.72,Yes,No,No,141.21199808219862,Intel Core i7,10,256
ASUS,Notebook,8,Nvidia,Linux,2.3,27864.9072,No,No,No,100.45466986113651,Intel Core i5,10,0
ACER,Notebook,4,Intel,Windows,2.2,36336.96,Yes,No,No,141.21199808219862,Intel Core i5,0,256
DELL,2 in 1 Convertible,12,Nvidia,Windows,2.77,53226.72,No,Yes,No,127.33567457123111,Intel Core i5,10,0
APPLE,Ultrabook,8,Intel,Others,1.37,75604.31999999999,Yes,No,No,226.98300468106115,Intel Core i5,0,256
LENOVO,Notebook,4,Intel,No OS,2.2,19660.32,No,No,No,100.45466986113651,Intel Core i3,0,128
ASUS,Gaming,8,AMD,Windows,3.2,69210.72,No,No,No,127.33567457123111,AMD,10,256
DELL,Notebook,4,AMD,Windows,2.3,34045.92,No,No,No,141.21199808219862,Intel Core i5,0,256
ASUS,Notebook,4,Nvidia,Windows,2.8,24828.48,No,No,No,90.58340172449303,Others,10,0
LENOVO,2 in 1 Convertible,4,Intel,Others,0.69,16996.32,Yes,Yes,No,224.17380907857276,Others,0,0
ACER,Notebook,8,Nvidia,Windows,2.2,44808.48,Yes,No,No,141.21199808219862,Intel Core i7,0,256
HP,Notebook,4,AMD,Windows,1.86,21231.5472,No,No,No,141.21199808219862,AMD,0,256
HP,Notebook,8,Intel,Windows,1.49,58767.84,No,No,No,165.6321180513006,Intel Core i7,0,512
ACER,Notebook,4,Intel,Windows,2.4,20459.52,No,No,No,100.45466986113651,Intel Core i3,10,0
DELL,Notebook,8,AMD,Windows,2.13,40908.384,No,No,No,141.21199808219862,Intel Core i7,0,256
HP,Notebook,4,Intel,Windows,1.91,23389.92,No,No,No,141.21199808219862,Intel Core i3,0,128
ASUS,Notebook,4,Intel,Windows,2.0,31232.203200000004,No,No,No,100.45466986113651,Intel Core i5,0,256
MSI,Gaming,16,Nvidia,Windows,2.43,130482.72,No,No,No,127.33567457123111,Intel Core i7,2000,256
ASUS,Notebook,4,Intel,Linux,2.0,22111.2,No,No,No,141.21199808219862,Intel Core i3,0,256
DELL,Notebook,16,AMD,Windows,2.8,69210.72,No,No,No,127.33567457123111,Intel Core i7,2000,256
DELL,Ultrabook,8,Intel,Windows,1.7,46833.12,No,No,No,157.3505121487356,Intel Core i5,0,256
LENOVO,Notebook,8,Intel,No OS,1.7,31914.72,Yes,No,No,157.3505121487356,Intel Core i3,0,256
ASUS,Notebook,8,Intel,Windows,1.4,50136.48,No,No,No,157.3505121487356,Intel Core i5,0,256
HP,Notebook,8,Intel,Windows,1.86,36763.2,No,No,No,141.21199808219862,Intel Core i5,0,256
ASUS,Ultrabook,16,Nvidia,Windows,1.8,105654.24,No,No,No,141.21199808219862,Intel Core i7,0,512
HP,Notebook,4,AMD,Windows,1.86,23373.4032,No,No,No,100.45466986113651,Intel Core i3,500,0
HP,Notebook,4,Intel,Windows,1.44,12201.12,No,No,No,111.93520355955211,Intel Celeron,0,32
LENOVO,Notebook,4,Intel,Windows,1.9,29250.72,No,No,No,141.21199808219862,Intel Core i5,10,0
ASUS,Gaming,12,Nvidia,Linux,3.0,50562.72,No,No,No,127.33567457123111,Intel Core i7,10,0
MICROSOFT,Ultrabook,4,Intel,Windows,1.252,58021.92,No,Yes,No,200.84255993695703,Intel Core i5,0,128
DELL,Ultrabook,8,AMD,Windows,1.4,50882.4,Yes,No,No,165.6321180513006,Intel Core i7,0,256
DELL,Notebook,8,AMD,Windows,2.2,46353.6,No,No,No,141.21199808219862,Intel Core i7,0,256
MSI,Gaming,8,Nvidia,Windows,2.7,58341.6,No,No,No,127.33567457123111,Intel Core i5,10,128
ACER,Notebook,8,Intel,Windows,2.1,20725.92,No,No,No,111.93520355955211,Intel Core i3,10,0
ASUS,Gaming,8,Nvidia,Windows,2.2,50562.72,No,No,No,141.21199808219862,Intel Core i7,10,0
LENOVO,Notebook,8,Intel,No OS,2.2,27652.32,No,No,No,141.21199808219862,Intel Core i5,2000,0
DELL,Notebook,8,Intel,Windows,2.02,45554.4,No,No,No,141.21199808219862,Intel Core i7,10,128
